district_id,district,region,pct_over_8km,salary_byn,category,label,highlight,settlements_total,settlements_over_8km,population_total,pct_65plus,tooltip
BY001001,Baranovichi,Brest,0.0,2270.2,Other districts,,0,280,0,26617,24.2,"Baranovichi, Brest Region | 0.0% of settlements over 8 km | 2,270 BYN average monthly gross wage"
BY001002,Bereza,Brest,0.9,2427.0,Other districts,,0,106,1,57008,21.4,"Bereza, Brest Region | 0.9% of settlements over 8 km | 2,427 BYN average monthly gross wage"
BY001003,Brest,Brest,0.0,2502.0,Other districts,,0,179,0,45756,17.9,"Brest, Brest Region | 0.0% of settlements over 8 km | 2,502 BYN average monthly gross wage"
BY001004,Drogichin,Brest,2.6,2132.1,Other districts,,0,152,4,32884,21.7,"Drogichin, Brest Region | 2.6% of settlements over 8 km | 2,132 BYN average monthly gross wage"
BY001005,Gancevichi,Brest,0.0,1971.8,Other districts,,0,30,0,23870,21.2,"Gancevichi, Brest Region | 0.0% of settlements over 8 km | 1,972 BYN average monthly gross wage"
BY001006,Ivacevichi,Brest,2.6,2114.6,Other districts,,0,115,3,49467,20.5,"Ivacevichi, Brest Region | 2.6% of settlements over 8 km | 2,115 BYN average monthly gross wage"
BY001007,Ivanovo,Brest,0.0,2260.0,Other districts,,0,107,0,34462,20.0,"Ivanovo, Brest Region | 0.0% of settlements over 8 km | 2,260 BYN average monthly gross wage"
BY001008,Kamenec,Brest,6.1,2399.3,Other districts,,0,212,13,30495,19.1,"Kamenec, Brest Region | 6.1% of settlements over 8 km | 2,399 BYN average monthly gross wage"
BY001009,Kobrin,Brest,1.1,2285.7,Other districts,,0,174,2,81116,17.8,"Kobrin, Brest Region | 1.1% of settlements over 8 km | 2,286 BYN average monthly gross wage"
BY001010,Ljahovichi,Brest,1.3,2128.7,Other districts,,0,77,1,21536,23.5,"Ljahovichi, Brest Region | 1.3% of settlements over 8 km | 2,129 BYN average monthly gross wage"
BY001011,Luninec,Brest,0.0,2211.2,Other districts,,0,76,0,60604,20.3,"Luninec, Brest Region | 0.0% of settlements over 8 km | 2,211 BYN average monthly gross wage"
BY001012,Malorita,Brest,11.4,2137.5,Other districts,,0,88,10,22213,18.9,"Malorita, Brest Region | 11.4% of settlements over 8 km | 2,138 BYN average monthly gross wage"
BY001013,Pinsk,Brest,3.2,2217.6,Other districts,,0,186,6,40229,23.3,"Pinsk, Brest Region | 3.2% of settlements over 8 km | 2,218 BYN average monthly gross wage"
BY001014,Pruzhany,Brest,2.0,2293.5,Other districts,,0,249,5,40571,22.6,"Pruzhany, Brest Region | 2.0% of settlements over 8 km | 2,294 BYN average monthly gross wage"
BY001015,Stolin,Brest,1.1,2002.9,Other districts,,0,95,1,67763,18.2,"Stolin, Brest Region | 1.1% of settlements over 8 km | 2,003 BYN average monthly gross wage"
BY001016,Zhabinka,Brest,0.0,2443.0,Other districts,,0,104,0,24435,18.5,"Zhabinka, Brest Region | 0.0% of settlements over 8 km | 2,443 BYN average monthly gross wage"
BY002001,Bragin,Gomel,6.0,1896.1,Other districts,,0,83,5,11435,15.3,"Bragin, Gomel Region | 6.0% of settlements over 8 km | 1,896 BYN average monthly gross wage"
BY002002,Buda-Koshelevo,Gomel,1.9,2066.7,Other districts,,0,257,5,28408,18.2,"Buda-Koshelevo, Gomel Region | 1.9% of settlements over 8 km | 2,067 BYN average monthly gross wage"
BY002003,Chechersk,Gomel,13.4,2039.0,Other districts,,0,67,9,14101,14.9,"Chechersk, Gomel Region | 13.4% of settlements over 8 km | 2,039 BYN average monthly gross wage"
BY002004,Dobrush,Gomel,2.3,2008.5,Other districts,,0,44,1,34215,21.3,"Dobrush, Gomel Region | 2.3% of settlements over 8 km | 2,008 BYN average monthly gross wage"
BY002005,Elsk,Gomel,0.0,2005.2,Other districts,,0,65,0,13674,20.4,"Elsk, Gomel Region | 0.0% of settlements over 8 km | 2,005 BYN average monthly gross wage"
BY002006,Gomel,Gomel,0.0,2116.6,Other districts,,0,194,0,68559,19.9,"Gomel, Gomel Region | 0.0% of settlements over 8 km | 2,117 BYN average monthly gross wage"
BY002007,Hojniki,Gomel,0.0,1927.9,Other districts,,0,60,0,18054,16.2,"Hojniki, Gomel Region | 0.0% of settlements over 8 km | 1,928 BYN average monthly gross wage"
BY002008,Kalinkovichi,Gomel,4.0,2147.4,Other districts,,0,124,5,53947,17.1,"Kalinkovichi, Gomel Region | 4.0% of settlements over 8 km | 2,147 BYN average monthly gross wage"
BY002009,Korma,Gomel,0.0,1842.6,Other districts,,0,57,0,12856,15.4,"Korma, Gomel Region | 0.0% of settlements over 8 km | 1,843 BYN average monthly gross wage"
BY002011,Loev,Gomel,0.0,1948.2,Other districts,,0,49,0,10557,24.4,"Loev, Gomel Region | 0.0% of settlements over 8 km | 1,948 BYN average monthly gross wage"
BY002012,Mozyr,Gomel,5.1,2568.2,Other districts,,0,99,5,125821,14.1,"Mozyr, Gomel Region | 5.1% of settlements over 8 km | 2,568 BYN average monthly gross wage"
BY002013,Narovlja,Gomel,9.1,1982.9,Other districts,,0,22,2,10355,14.2,"Narovlja, Gomel Region | 9.1% of settlements over 8 km | 1,983 BYN average monthly gross wage"
BY002015,Petrikov,Gomel,2.2,2236.7,Other districts,,0,139,3,24807,22.9,"Petrikov, Gomel Region | 2.2% of settlements over 8 km | 2,237 BYN average monthly gross wage"
BY002016,Rechitsa,Gomel,2.4,2877.8,Other districts,,0,206,5,93639,17.1,"Rechitsa, Gomel Region | 2.4% of settlements over 8 km | 2,878 BYN average monthly gross wage"
BY002017,Rogachev,Gomel,0.0,2080.1,Other districts,,0,245,0,49697,24.7,"Rogachev, Gomel Region | 0.0% of settlements over 8 km | 2,080 BYN average monthly gross wage"
BY002018,Svetlogorsk,Gomel,2.6,2685.3,Other districts,,0,116,3,74708,18.7,"Svetlogorsk, Gomel Region | 2.6% of settlements over 8 km | 2,685 BYN average monthly gross wage"
BY002019,Vetka,Gomel,6.2,1961.6,Other districts,,0,48,3,16962,18.4,"Vetka, Gomel Region | 6.2% of settlements over 8 km | 1,962 BYN average monthly gross wage"
BY002020,Zhitkovichi,Gomel,4.7,2115.0,Other districts,,0,106,5,32077,19.7,"Zhitkovichi, Gomel Region | 4.7% of settlements over 8 km | 2,115 BYN average monthly gross wage"
BY002021,Zhlobin,Gomel,3.1,2302.5,Other districts,,0,161,5,97108,13.6,"Zhlobin, Gomel Region | 3.1% of settlements over 8 km | 2,302 BYN average monthly gross wage"
BY003001,Berestovica,Grodno,6.8,2376.9,Other districts,,0,191,13,14175,21.8,"Berestovica, Grodno Region | 6.8% of settlements over 8 km | 2,377 BYN average monthly gross wage"
BY003002,Djatlovo,Grodno,0.0,2152.6,Other districts,,0,266,0,21949,23.9,"Djatlovo, Grodno Region | 0.0% of settlements over 8 km | 2,153 BYN average monthly gross wage"
BY003003,Grodno,Grodno,15.7,2501.5,Other districts,,0,415,65,48199,21.6,"Grodno, Grodno Region | 15.7% of settlements over 8 km | 2,502 BYN average monthly gross wage"
BY003004,Ive,Grodno,6.5,1940.9,Other districts,,0,324,21,18919,22.2,"Ive, Grodno Region | 6.5% of settlements over 8 km | 1,941 BYN average monthly gross wage"
BY003005,Korelichi,Grodno,0.9,2097.6,Other districts,,0,117,1,17668,26.4,"Korelichi, Grodno Region | 0.9% of settlements over 8 km | 2,098 BYN average monthly gross wage"
BY003006,Lida,Grodno,4.2,2267.4,Other districts,,0,236,10,131597,16.7,"Lida, Grodno Region | 4.2% of settlements over 8 km | 2,267 BYN average monthly gross wage"
BY003007,Mosty,Grodno,2.2,2034.8,Other districts,,0,138,3,24653,24.4,"Mosty, Grodno Region | 2.2% of settlements over 8 km | 2,035 BYN average monthly gross wage"
BY003008,Novogrudok,Grodno,0.4,2131.4,Other districts,,0,250,1,40088,21.5,"Novogrudok, Grodno Region | 0.4% of settlements over 8 km | 2,131 BYN average monthly gross wage"
BY003009,Oshmjany,Grodno,7.3,2105.9,Other districts,,0,329,24,28771,16.9,"Oshmjany, Grodno Region | 7.3% of settlements over 8 km | 2,106 BYN average monthly gross wage"
BY003011,Schuchin,Grodno,7.9,2272.4,Other districts,,0,455,36,30824,24.8,"Schuchin, Grodno Region | 7.9% of settlements over 8 km | 2,272 BYN average monthly gross wage"
BY003012,Slonim,Grodno,5.9,2182.8,Other districts,,0,135,8,59900,19.2,"Slonim, Grodno Region | 5.9% of settlements over 8 km | 2,183 BYN average monthly gross wage"
BY003013,Smorgon,Grodno,0.7,2405.6,Other districts,,0,288,2,47776,18.6,"Smorgon, Grodno Region | 0.7% of settlements over 8 km | 2,406 BYN average monthly gross wage"
BY003014,Svisloch,Grodno,2.3,2125.2,Other districts,,0,172,4,12230,30.4,"Svisloch, Grodno Region | 2.3% of settlements over 8 km | 2,125 BYN average monthly gross wage"
BY003015,Volkovysk,Grodno,0.0,2311.5,Other districts,,0,231,0,62960,17.7,"Volkovysk, Grodno Region | 0.0% of settlements over 8 km | 2,312 BYN average monthly gross wage"
BY003016,Voronovo,Grodno,1.0,2020.3,Other districts,,0,388,4,20479,20.9,"Voronovo, Grodno Region | 1.0% of settlements over 8 km | 2,020 BYN average monthly gross wage"
BY003017,Zel'va,Grodno,3.7,2110.2,Other districts,,0,135,5,12474,27.7,"Zel'va, Grodno Region | 3.7% of settlements over 8 km | 2,110 BYN average monthly gross wage"
BY004001,Berezino,Minsk,0.6,2127.3,Other districts,,0,154,1,21156,21.3,"Berezino, Minsk Region | 0.6% of settlements over 8 km | 2,127 BYN average monthly gross wage"
BY004002,Borisov,Minsk,2.0,2409.7,Other districts,,0,347,7,167032,17.1,"Borisov, Minsk Region | 2.0% of settlements over 8 km | 2,410 BYN average monthly gross wage"
BY004003,Cherven,Minsk,0.0,2283.0,Other districts,,0,206,0,33325,19.2,"Cherven, Minsk Region | 0.0% of settlements over 8 km | 2,283 BYN average monthly gross wage"
BY004005,Kletsk,Minsk,1.7,2198.7,Other districts,,0,116,2,25180,22.0,"Kletsk, Minsk Region | 1.7% of settlements over 8 km | 2,199 BYN average monthly gross wage"
BY004006,Kopyl,Minsk,0.0,2308.1,Other districts,,0,250,0,26067,23.8,"Kopyl, Minsk Region | 0.0% of settlements over 8 km | 2,308 BYN average monthly gross wage"
BY004007,Krupki,Minsk,0.9,2240.4,Other districts,,0,212,2,21346,22.5,"Krupki, Minsk Region | 0.9% of settlements over 8 km | 2,240 BYN average monthly gross wage"
BY004008,Logojsk,Minsk,15.7,2579.7,Other districts,,0,351,55,38384,18.5,"Logojsk, Minsk Region | 15.7% of settlements over 8 km | 2,580 BYN average monthly gross wage"
BY004009,Lyuban,Minsk,0.0,2459.0,Other districts,,0,93,0,27987,21.4,"Lyuban, Minsk Region | 0.0% of settlements over 8 km | 2,459 BYN average monthly gross wage"
BY004011,Mjadel,Minsk,5.6,2215.0,Other districts,,0,374,21,23825,23.2,"Mjadel, Minsk Region | 5.6% of settlements over 8 km | 2,215 BYN average monthly gross wage"
BY004012,Molodechno,Minsk,0.9,2303.8,Other districts,,0,328,3,127622,17.7,"Molodechno, Minsk Region | 0.9% of settlements over 8 km | 2,304 BYN average monthly gross wage"
BY004013,Nesvizh,Minsk,0.0,2606.1,Other districts,,0,140,0,38350,18.9,"Nesvizh, Minsk Region | 0.0% of settlements over 8 km | 2,606 BYN average monthly gross wage"
BY004014,Puhovichi,Minsk,1.8,2567.3,Other districts,,0,335,6,67081,20.1,"Puhovichi, Minsk Region | 1.8% of settlements over 8 km | 2,567 BYN average monthly gross wage"
BY004015,Slutsk,Minsk,1.0,2401.7,Other districts,,0,191,2,84548,18.6,"Slutsk, Minsk Region | 1.0% of settlements over 8 km | 2,402 BYN average monthly gross wage"
BY004018,St.Dorogi,Minsk,0.0,2257.6,Other districts,,0,57,0,18783,21.1,"St.Dorogi, Minsk Region | 0.0% of settlements over 8 km | 2,258 BYN average monthly gross wage"
BY004019,Stolbtsy,Minsk,1.9,2361.6,Other districts,,0,206,4,37185,20.6,"Stolbtsy, Minsk Region | 1.9% of settlements over 8 km | 2,362 BYN average monthly gross wage"
BY004020,Uzda,Minsk,0.0,2384.7,Other districts,,0,148,0,23627,20.6,"Uzda, Minsk Region | 0.0% of settlements over 8 km | 2,385 BYN average monthly gross wage"
BY004021,Vilejka,Minsk,1.1,2149.9,Other districts,,0,366,4,45481,21.5,"Vilejka, Minsk Region | 1.1% of settlements over 8 km | 2,150 BYN average monthly gross wage"
BY004022,Volozhin,Minsk,1.4,2254.1,Other districts,,0,510,7,33270,21.9,"Volozhin, Minsk Region | 1.4% of settlements over 8 km | 2,254 BYN average monthly gross wage"
BY006001,Belynichi,Mogilev,3.1,2173.5,Other districts,,0,159,5,17194,23.5,"Belynichi, Mogilev Region | 3.1% of settlements over 8 km | 2,174 BYN average monthly gross wage"
BY006002,Bobrujsk,Mogilev,0.0,1998.5,Other districts,,0,175,0,16204,26.6,"Bobrujsk, Mogilev Region | 0.0% of settlements over 8 km | 1,998 BYN average monthly gross wage"
BY006003,Byhov,Mogilev,0.5,2066.0,Other districts,,0,194,1,27582,21.3,"Byhov, Mogilev Region | 0.5% of settlements over 8 km | 2,066 BYN average monthly gross wage"
BY006004,Chausy,Mogilev,1.3,1924.3,Other districts,,0,150,2,16291,24.8,"Chausy, Mogilev Region | 1.3% of settlements over 8 km | 1,924 BYN average monthly gross wage"
BY006005,Cherikov,Mogilev,2.3,1924.4,Other districts,,0,87,2,12164,17.9,"Cherikov, Mogilev Region | 2.3% of settlements over 8 km | 1,924 BYN average monthly gross wage"
BY006006,Dribin,Mogilev,1.0,1891.5,Other districts,,0,99,1,9190,19.2,"Dribin, Mogilev Region | 1.0% of settlements over 8 km | 1,892 BYN average monthly gross wage"
BY006008,Gorki,Mogilev,4.0,2102.5,Other districts,,0,175,7,37106,18.7,"Gorki, Mogilev Region | 4.0% of settlements over 8 km | 2,102 BYN average monthly gross wage"
BY006009,Hotimsk,Mogilev,10.6,1895.3,Other districts,,0,94,10,9425,23.2,"Hotimsk, Mogilev Region | 10.6% of settlements over 8 km | 1,895 BYN average monthly gross wage"
BY006010,Kirovsk,Mogilev,0.8,2018.8,Other districts,,0,130,1,16666,22.3,"Kirovsk, Mogilev Region | 0.8% of settlements over 8 km | 2,019 BYN average monthly gross wage"
BY006011,Klichev,Mogilev,1.2,2060.0,Other districts,,0,170,2,13324,21.7,"Klichev, Mogilev Region | 1.2% of settlements over 8 km | 2,060 BYN average monthly gross wage"
BY006012,Klimovichi,Mogilev,5.4,1953.3,Other districts,,0,167,9,21605,19.2,"Klimovichi, Mogilev Region | 5.4% of settlements over 8 km | 1,953 BYN average monthly gross wage"
BY006013,Kostyukovichi,Mogilev,4.3,2187.2,Other districts,,0,139,6,20904,16.5,"Kostyukovichi, Mogilev Region | 4.3% of settlements over 8 km | 2,187 BYN average monthly gross wage"
BY006014,Krasnopole,Mogilev,8.4,1844.8,Other districts,,0,143,12,8526,17.4,"Krasnopole, Mogilev Region | 8.4% of settlements over 8 km | 1,845 BYN average monthly gross wage"
BY006015,Krichev,Mogilev,0.0,2123.2,Other districts,,0,96,0,27335,18.8,"Krichev, Mogilev Region | 0.0% of settlements over 8 km | 2,123 BYN average monthly gross wage"
BY006016,Krugloe,Mogilev,0.7,1940.3,Other districts,,0,139,1,12247,20.8,"Krugloe, Mogilev Region | 0.7% of settlements over 8 km | 1,940 BYN average monthly gross wage"
BY006017,Mogilev,Mogilev,0.0,2533.8,Other districts,,0,291,0,39163,20.9,"Mogilev, Mogilev Region | 0.0% of settlements over 8 km | 2,534 BYN average monthly gross wage"
BY006018,Mstislav,Mogilev,2.2,1913.1,Other districts,,0,180,4,17910,20.5,"Mstislav, Mogilev Region | 2.2% of settlements over 8 km | 1,913 BYN average monthly gross wage"
BY006019,Osipovichi,Mogilev,1.9,2296.2,Other districts,,0,154,3,42663,20.5,"Osipovichi, Mogilev Region | 1.9% of settlements over 8 km | 2,296 BYN average monthly gross wage"
BY006020,Shklov,Mogilev,0.4,2401.0,Other districts,,0,252,1,23761,18.6,"Shklov, Mogilev Region | 0.4% of settlements over 8 km | 2,401 BYN average monthly gross wage"
BY006021,Slavgorod,Mogilev,6.5,1862.2,Other districts,,0,77,5,11904,18.6,"Slavgorod, Mogilev Region | 6.5% of settlements over 8 km | 1,862 BYN average monthly gross wage"
BY007001,Beshenkovichi,Vitebsk,1.1,1979.1,Other districts,,0,261,3,13144,25.1,"Beshenkovichi, Vitebsk Region | 1.1% of settlements over 8 km | 1,979 BYN average monthly gross wage"
BY007002,Braslav,Vitebsk,6.9,1898.7,Other districts,,0,378,26,22764,21.5,"Braslav, Vitebsk Region | 6.9% of settlements over 8 km | 1,899 BYN average monthly gross wage"
BY007003,Chashniki,Vitebsk,1.3,2288.2,Other districts,,0,154,2,25810,22.7,"Chashniki, Vitebsk Region | 1.3% of settlements over 8 km | 2,288 BYN average monthly gross wage"
BY007004,Dokshitsy,Vitebsk,4.3,2060.7,Other districts,,0,188,8,20041,22.9,"Dokshitsy, Vitebsk Region | 4.3% of settlements over 8 km | 2,061 BYN average monthly gross wage"
BY007005,Dubrovno,Vitebsk,10.0,2122.0,Other districts,,0,180,18,12986,22.9,"Dubrovno, Vitebsk Region | 10.0% of settlements over 8 km | 2,122 BYN average monthly gross wage"
BY007006,Glubokoe,Vitebsk,4.1,2101.1,Other districts,,0,435,18,32870,21.3,"Glubokoe, Vitebsk Region | 4.1% of settlements over 8 km | 2,101 BYN average monthly gross wage"
BY007008,Lepel,Vitebsk,14.0,2151.4,Other districts,,0,157,22,29856,20.4,"Lepel, Vitebsk Region | 14.0% of settlements over 8 km | 2,151 BYN average monthly gross wage"
BY007009,Liozno,Vitebsk,8.9,1987.8,Other districts,,0,270,24,14494,24.5,"Liozno, Vitebsk Region | 8.9% of settlements over 8 km | 1,988 BYN average monthly gross wage"
BY007010,Miory,Vitebsk,0.5,1869.8,Other districts,,0,558,3,17075,22.9,"Miory, Vitebsk Region | 0.5% of settlements over 8 km | 1,870 BYN average monthly gross wage"
BY007011,Orsha,Vitebsk,0.0,2209.3,Other districts,,0,263,0,139546,20.2,"Orsha, Vitebsk Region | 0.0% of settlements over 8 km | 2,209 BYN average monthly gross wage"
BY007012,Polotsk,Vitebsk,2.4,2228.3,Other districts,,0,466,11,98999,17.5,"Polotsk, Vitebsk Region | 2.4% of settlements over 8 km | 2,228 BYN average monthly gross wage"
BY007013,Postavy,Vitebsk,1.4,2075.8,Other districts,,0,360,5,31043,21.5,"Postavy, Vitebsk Region | 1.4% of settlements over 8 km | 2,076 BYN average monthly gross wage"
BY007015,Senno,Vitebsk,4.0,2002.5,Other districts,,0,350,14,18132,26.1,"Senno, Vitebsk Region | 4.0% of settlements over 8 km | 2,002 BYN average monthly gross wage"
BY007016,Sharkovschina,Vitebsk,0.8,1751.3,Other districts,,0,243,2,12653,24.3,"Sharkovschina, Vitebsk Region | 0.8% of settlements over 8 km | 1,751 BYN average monthly gross wage"
BY007017,Shumilino,Vitebsk,10.7,1927.0,Other districts,,0,261,28,15774,22.6,"Shumilino, Vitebsk Region | 10.7% of settlements over 8 km | 1,927 BYN average monthly gross wage"
BY007018,Tolochin,Vitebsk,5.0,2038.7,Other districts,,0,240,12,21292,22.8,"Tolochin, Vitebsk Region | 5.0% of settlements over 8 km | 2,039 BYN average monthly gross wage"
BY007019,Ushachi,Vitebsk,2.0,1852.9,Other districts,,0,150,3,11283,25.9,"Ushachi, Vitebsk Region | 2.0% of settlements over 8 km | 1,853 BYN average monthly gross wage"
BY007020,Verhnedvinsk,Vitebsk,7.7,2215.6,Other districts,,0,271,21,18305,23.2,"Verhnedvinsk, Vitebsk Region | 7.7% of settlements over 8 km | 2,216 BYN average monthly gross wage"
BY007021,Vitebsk,Vitebsk,8.4,2234.3,Other districts,,0,430,36,33695,22.6,"Vitebsk, Vitebsk Region | 8.4% of settlements over 8 km | 2,234 BYN average monthly gross wage"
BY003010,Ostrovec,Grodno,2.7,3198.4,Highest wages,Ostrovets,1,409,11,28500,15.6,"Ostrovets, Grodno Region | 2.7% of settlements over 8 km | 3,198 BYN average monthly gross wage"
BY004004,Dzerzhinsk,Minsk,0.0,2941.2,Highest wages,Dzerzhinsk,1,295,0,70702,15.9,"Dzerzhinsk, Minsk Region | 0.0% of settlements over 8 km | 2,941 BYN average monthly gross wage"
BY004010,Minsk,Minsk,0.6,3309.5,Highest wages,Minsk,1,336,2,279989,13.2,"Minsk, Minsk Region | 0.6% of settlements over 8 km | 3,310 BYN average monthly gross wage"
BY004016,Smolevichi,Minsk,4.7,3083.5,Highest wages,Smolevichi,1,191,9,56657,16.9,"Smolevichi, Minsk Region | 4.7% of settlements over 8 km | 3,084 BYN average monthly gross wage"
BY004017,Soligorsk,Minsk,1.0,3220.8,Highest wages,Soligorsk,1,206,2,125406,15.8,"Soligorsk, Minsk Region | 1.0% of settlements over 8 km | 3,221 BYN average monthly gross wage"
BY002010,Lelchitsy,Gomel,14.3,1905.6,High remoteness + low wages,Lelchitsy,1,77,11,23134,18.7,"Lelchitsy, Gomel Region | 14.3% of settlements over 8 km | 1,906 BYN average monthly gross wage"
BY002014,Oktjabrsky,Gomel,10.8,1875.4,High remoteness + low wages,Oktyabrsky,1,83,9,12666,21.8,"Oktyabrsky, Gomel Region | 10.8% of settlements over 8 km | 1,875 BYN average monthly gross wage"
BY006007,Glusk,Mogilev,14.4,1952.4,High remoteness + low wages,Glusk,1,97,14,11803,22.6,"Glusk, Mogilev Region | 14.4% of settlements over 8 km | 1,952 BYN average monthly gross wage"
BY007007,Gorodok,Vitebsk,19.2,1930.8,High remoteness + low wages,Gorodok,1,381,73,19954,24.5,"Gorodok, Vitebsk Region | 19.2% of settlements over 8 km | 1,931 BYN average monthly gross wage"
BY007014,Rossony,Vitebsk,22.9,1830.0,High remoteness + low wages,Rossony,1,227,52,8050,25.0,"Rossony, Vitebsk Region | 22.9% of settlements over 8 km | 1,830 BYN average monthly gross wage"
